Synset,Label
musical_instrument.n.01,h
guitar.n.01,b
piano.n.01,b
grand_piano.n.01,l
upright.n.02,l
drum.n.01,b
bass_drum.n.01,l
cornet.n.01,b
sax.n.02,b
fruit.n.01,h
apple.n.01,b
peach.n.03,b
freestone.n.01,l
cling.n.01,l
grape.n.01,b
concord_grape.n.01,l
pear.n.01,b
tool.n.01,h
hammer.n.02,b
ball-peen_hammer.n.01,l
carpenter's_hammer.n.01,l
saw.n.02,b
hacksaw.n.01,l
crosscut_saw.n.01,l
chain_saw.n.01,l
screwdriver.n.01,b
phillips_screwdriver.n.01,l
flat_tip_screwdriver.n.01,l
drill.n.01,b
clothing.n.01,h
trouser.n.01,b
levi's.n.01,l
jean.n.01,l
sock.n.01,b
knee-high.n.01,l
anklet.n.02,l
shirt.n.01,b
dress_shirt.n.01,l
necktie.n.01,b
scarf.n.01,b
shoe.n.01,b
underwear.n.01,b
furniture.n.01,h
table.n.02,b
kitchen_table.n.01,l
lamp.n.02,b
floor_lamp.n.01,l
table_lamp.n.01,l
chair.n.01,b
bed.n.01,b
sofa.n.01,b
vehicle.n.01,h
car.n.01,b
sports_car.n.01,l
sedan.n.01,l
limousine.n.01,l
bus.n.01,b
school_bus.n.01,l
truck.n.01,b
pickup.n.01,l
tractor.n.02,l
fire_engine.n.01,l
trailer_truck.n.01,l
airplane.n.01,b
motorcycle.n.01,b
plant.n.02,h
tree.n.01,b
maple.n.02,l
birch.n.02,l
oak.n.02,l
pine.n.01,l
fern.n.01,b
flower.n.01,b
animal.n.01,h
fish.n.01,b
bass.n.08,l
trout.n.02,l
salmon.n.01,l
bird.n.01,b
cardinal.n.04,l
eagle.n.01,l
sparrow.n.01,l
robin.n.01,l
canary.n.04,l
cat.n.01,b
dog.n.01,b
poodle.n.01,l
butterfly.n.01,b
horse.n.01,b
cow.n.01,b
mouse.n.01,b
insect.n.01,h
ant.n.01,b
termite.n.01,b
vegetable.n.01,h
bean.n.01,b
green_bean.n.01,l
onion.n.03,b
pepper.n.04,b
radish.n.01,b
weapon.n.01,h
gun.n.01,b
shotgun.n.01,l
sword.n.01,b
spear.n.01,b
knife.n.02,b
weaponry.n.01,h
bomb.n.01,b
jewelry.n.01,h
necklace.n.01,b
ring.n.08,b
timepiece.n.01,h
watch.n.01,b
footwear.n.02,h
shoe.n.01,b
sandal.n.01,l
boot.n.01,b
sports_equipment.n.01,h
skate.n.01,b
game_equipment.n.01,h
ball.n.01,b
football.n.02,l
sports_implement.n.01,h
racket.n.04,b
net.n.05,b
flatware.n.01,h
plate.n.04,b
dinner_plate.n.01,l
cutlery.n.02,h
fork.n.01,b
spoon.n.01,b
crockery.n.01,h
cup.n.01,b
shelter.n.01,h
tent.n.01,b
pup_tent.n.01,l
beverage.n.01,h
milk.n.01,b
skim_milk.n.01,l
coffee.n.01,b
tea.n.01,b
pop.n.02,b
alcohol.n.01,b
entertainment.n.01,h
movie.n.01,b
television_program.n.01,b
museum.n.01,b
food.n.02,h
potato.n.01,b
mashed_potato.n.01,l
cereal.n.03,b
bread.n.01,b
disease.n.01,h
measles.n.01,b
chickenpox.n.01,b
